source_id	derivative_id	subject_id	session_id	output_num	output_size	nifti_num	nifti_size	html_num
ds004496	MRIQC-24.0.2	sub-01	ses-anat	1	94732	0	0	0
ds004496	MRIQC-24.0.2	sub-01	ses-coco	30	474757	0	0	0
ds004496	MRIQC-24.0.2	sub-01	ses-floc	12	0	0	0	0
ds004496	MRIQC-24.0.2	sub-01	ses-imagenet01	30	909459	0	0	0
ds004496	MRIQC-24.0.2	sub-01	ses-imagenet02	30	912814	0	0	0
ds004496	MRIQC-24.0.2	sub-01	ses-imagenet03	30	908797	0	0	0
ds004496	MRIQC-24.0.2	sub-01	ses-imagenet04	30	913577	0	0	0
ds004496	MRIQC-24.0.2	sub-01	ses-imagenet05	9	231539	0	0	0
ds004496	MRIQC-24.0.2	sub-01	ses-prf	24	0	0	0	0
ds004496	MRIQC-24.0.2	sub-02	ses-anat	1	95019	0	0	0
ds004496	MRIQC-24.0.2	sub-02	ses-coco	33	522152	0	0	0
ds004496	MRIQC-24.0.2	sub-02	ses-floc	18	0	0	0	0
ds004496	MRIQC-24.0.2	sub-02	ses-imagenet01	30	916516	0	0	0
ds004496	MRIQC-24.0.2	sub-02	ses-imagenet02	30	912363	0	0	0
ds004496	MRIQC-24.0.2	sub-02	ses-imagenet03	30	916603	0	0	0
ds004496	MRIQC-24.0.2	sub-02	ses-imagenet04	30	917880	0	0	0
ds004496	MRIQC-24.0.2	sub-02	ses-prf	36	0	0	0	0
ds004496	MRIQC-24.0.2	sub-03	ses-anat	1	88350	0	0	0
ds004496	MRIQC-24.0.2	sub-03	ses-coco	33	522156	0	0	0
ds004496	MRIQC-24.0.2	sub-03	ses-floc	9	0	0	0	0
ds004496	MRIQC-24.0.2	sub-03	ses-imagenet01	30	913087	0	0	0
ds004496	MRIQC-24.0.2	sub-03	ses-imagenet02	30	914711	0	0	0
ds004496	MRIQC-24.0.2	sub-03	ses-imagenet03	30	915006	0	0	0
ds004496	MRIQC-24.0.2	sub-03	ses-imagenet04	30	905103	0	0	0
ds004496	MRIQC-24.0.2	sub-03	ses-prf	24	0	0	0	0
ds004496	MRIQC-24.0.2	sub-04	ses-anat	1	94872	0	0	0
ds004496	MRIQC-24.0.2	sub-04	ses-coco	33	523938	0	0	0
ds004496	MRIQC-24.0.2	sub-04	ses-floc	15	0	0	0	0
ds004496	MRIQC-24.0.2	sub-04	ses-imagenet01	30	915303	0	0	0
ds004496	MRIQC-24.0.2	sub-04	ses-imagenet02	30	885016	0	0	0
ds004496	MRIQC-24.0.2	sub-04	ses-imagenet03	30	898324	0	0	0
ds004496	MRIQC-24.0.2	sub-04	ses-imagenet04	30	914960	0	0	0
ds004496	MRIQC-24.0.2	sub-04	ses-prf	30	0	0	0	0
ds004496	MRIQC-24.0.2	sub-05	ses-anat	1	94613	0	0	0
ds004496	MRIQC-24.0.2	sub-05	ses-coco	33	523713	0	0	0
ds004496	MRIQC-24.0.2	sub-05	ses-floc	15	0	0	0	0
ds004496	MRIQC-24.0.2	sub-05	ses-imagenet01	30	912603	0	0	0
ds004496	MRIQC-24.0.2	sub-05	ses-imagenet02	30	909162	0	0	0
ds004496	MRIQC-24.0.2	sub-05	ses-imagenet03	30	909369	0	0	0
ds004496	MRIQC-24.0.2	sub-05	ses-imagenet04	30	910499	0	0	0
ds004496	MRIQC-24.0.2	sub-05	ses-prf	30	0	0	0	0
ds004496	MRIQC-24.0.2	sub-06	ses-anat	1	95074	0	0	0
ds004496	MRIQC-24.0.2	sub-06	ses-coco	33	524044	0	0	0
ds004496	MRIQC-24.0.2	sub-06	ses-floc	12	0	0	0	0
ds004496	MRIQC-24.0.2	sub-06	ses-imagenet01	30	911398	0	0	0
ds004496	MRIQC-24.0.2	sub-06	ses-imagenet02	30	912587	0	0	0
ds004496	MRIQC-24.0.2	sub-06	ses-imagenet03	30	912531	0	0	0
ds004496	MRIQC-24.0.2	sub-06	ses-imagenet04	30	913302	0	0	0
ds004496	MRIQC-24.0.2	sub-06	ses-prf	24	0	0	0	0
ds004496	MRIQC-24.0.2	sub-07	ses-anat	1	95163	0	0	0
ds004496	MRIQC-24.0.2	sub-07	ses-coco	33	522134	0	0	0
ds004496	MRIQC-24.0.2	sub-07	ses-floc	15	0	0	0	0
ds004496	MRIQC-24.0.2	sub-07	ses-imagenet01	30	912626	0	0	0
ds004496	MRIQC-24.0.2	sub-07	ses-imagenet02	30	909573	0	0	0
ds004496	MRIQC-24.0.2	sub-07	ses-imagenet03	30	909162	0	0	0
ds004496	MRIQC-24.0.2	sub-07	ses-imagenet04	30	912541	0	0	0
ds004496	MRIQC-24.0.2	sub-07	ses-prf	30	0	0	0	0
ds004496	MRIQC-24.0.2	sub-08	ses-anat	1	94670	0	0	0
ds004496	MRIQC-24.0.2	sub-08	ses-coco	33	523891	0	0	0
ds004496	MRIQC-24.0.2	sub-08	ses-floc	9	0	0	0	0
ds004496	MRIQC-24.0.2	sub-08	ses-imagenet01	30	914567	0	0	0
